link,name
http://whopayswriters.com/#/publication/100-days-in-appalachia,100 Days In Appalachia
http://whopayswriters.com/#/publication/3288-review,3288 Review
http://whopayswriters.com/#/publication/425-business,425 Business
http://whopayswriters.com/#/publication/435-magazine,435 Magazine
http://whopayswriters.com/#/publication/5280,5280
http://whopayswriters.com/#/publication/7x7,7x7
http://whopayswriters.com/#/publication/av-club,A.v. Club
http://whopayswriters.com/#/publication/ae-real-crime-blog,A&e Real Crime Blog
http://whopayswriters.com/#/publication/aarp-bulletin,Aarp Bulletin
http://whopayswriters.com/#/publication/aarp-en-espaol-spanishlanguage-website-for-aarp,Aarp En Español (spanish-language Website For Aarp).
http://whopayswriters.com/#/publication/acclaim-magazine,Acclaim Magazine
http://whopayswriters.com/#/publication/acres-usa,Acres Usa
http://whopayswriters.com/#/publication/adbusters,Adbusters
http://whopayswriters.com/#/publication/additude,Additude
http://whopayswriters.com/#/publication/adoptioncom,Adoption.com
http://whopayswriters.com/#/publication/adrain-telegram,Adrain Telegram
http://whopayswriters.com/#/publication/adventure-cyclist-magazine,Adventure Cyclist Magazine
http://whopayswriters.com/#/publication/adventure-kayak,Adventure Kayak
http://whopayswriters.com/#/publication/advicesister-beauty-fashion--lifestyle,"Advicesister Beauty, Fashion & Lifestyle"
http://whopayswriters.com/#/publication/aeon,Aeon
http://whopayswriters.com/#/publication/afar,Afar
http://whopayswriters.com/#/publication/africa-renewal-un,Africa Renewal (Un)
http://whopayswriters.com/#/publication/afropunk,Afropunk
http://whopayswriters.com/#/publication/agdaily,Agdaily
http://whopayswriters.com/#/publication/al-jazeera-america,Al Jazeera America
http://whopayswriters.com/#/publication/al-jazeera-english,Al Jazeera English
http://whopayswriters.com/#/publication/aljazeera-english,Al-jazeera English
http://whopayswriters.com/#/publication/alaska-airlines-magazine,Alaska Airlines Magazine
http://whopayswriters.com/#/publication/alive-65,Alive 65
http://whopayswriters.com/#/publication/all-black-media,All Black Media
http://whopayswriters.com/#/publication/allaboutcircuits,Allaboutcircuits
http://whopayswriters.com/#/publication/alma,Alma
http://whopayswriters.com/#/publication/almost-fearless,Almost Fearless
http://whopayswriters.com/#/publication/alpinist-magazine,Alpinist Magazine
http://whopayswriters.com/#/publication/alternet,Alternet
http://whopayswriters.com/#/publication/alternet-2nd-rights,Alternet (2nd Rights)
http://whopayswriters.com/#/publication/ambassador-national-italian-american-foundation,Ambassador (National Italian American Foundation)
http://whopayswriters.com/#/publication/america-magazine,America Magazine
http://whopayswriters.com/#/publication/americas-quarterly,America's Quarterly
http://whopayswriters.com/#/publication/american-angler,American Angler
http://whopayswriters.com/#/publication/american-banker,American Banker
http://whopayswriters.com/#/publication/american-city--county,American City & County
http://whopayswriters.com/#/publication/american-educator,American Educator
http://whopayswriters.com/#/publication/american-forests,American Forests
http://whopayswriters.com/#/publication/american-teacher-magazine,American Teacher Magazine
http://whopayswriters.com/#/publication/american-theatre,American Theatre
http://whopayswriters.com/#/publication/american-way,American Way
http://whopayswriters.com/#/publication/amongmen,Amongmen
http://whopayswriters.com/#/publication/animal-new-york,Animal New York
http://whopayswriters.com/#/publication/aol-travel,Aol Travel
http://whopayswriters.com/#/publication/april-magazine,April Magazine
http://whopayswriters.com/#/publication/aps-news,Aps News
http://whopayswriters.com/#/publication/arc-digital,Arc Digital
http://whopayswriters.com/#/publication/archdaily,Archdaily
http://whopayswriters.com/#/publication/archer-magazine,Archer Magazine
http://whopayswriters.com/#/publication/archinect,Archinect
http://whopayswriters.com/#/publication/architect-magazine,Architect Magazine
http://whopayswriters.com/#/publication/architectural-digest,Architectural Digest
http://whopayswriters.com/#/publication/architectural-record,Architectural Record
http://whopayswriters.com/#/publication/are-we-europe,Are We Europe
http://whopayswriters.com/#/publication/arena-music,Arena Music
http://whopayswriters.com/#/publication/argot-magazine,Argot Magazine
http://whopayswriters.com/#/publication/armenian-weekly,Armenian Weekly
http://whopayswriters.com/#/publication/ars-technica,Ars Technica
http://whopayswriters.com/#/publication/art-for-ourselves,Art For Ourselves
http://whopayswriters.com/#/publication/art-in-america,Art In America
http://whopayswriters.com/#/publication/art-jewelry-forum,Art Jewelry Forum
http://whopayswriters.com/#/publication/art-papers,Art Papers
http://whopayswriters.com/#/publication/art-press-france,Art Press (france)
http://whopayswriters.com/#/publication/art21-magazine,Art21 Magazine
http://whopayswriters.com/#/publication/arte-fuse,Arte Fuse
http://whopayswriters.com/#/publication/artforum,Artforum
http://whopayswriters.com/#/publication/artnews,Artnews
http://whopayswriters.com/#/publication/artreview,Artreview
http://whopayswriters.com/#/publication/artreview,Artreview
http://whopayswriters.com/#/publication/arts--letters,Arts & Letters
http://whopayswriters.com/#/publication/artslant,Artslant
http://whopayswriters.com/#/publication/artsy,Artsy
http://whopayswriters.com/#/publication/artus,Artus
http://whopayswriters.com/#/publication/asia-times-online,Asia Times Online
http://whopayswriters.com/#/publication/askmencom,Askmen.com
http://whopayswriters.com/#/publication/astronomy-magazine,Astronomy Magazine
http://whopayswriters.com/#/publication/asweatlife,Asweatlife
http://whopayswriters.com/#/publication/at-large-magazine,At Large Magazine
http://whopayswriters.com/#/publication/athenainsight,Athenainsight
http://whopayswriters.com/#/publication/atlanta-blackstar,Atlanta Blackstar
http://whopayswriters.com/#/publication/atlanta-magazine,Atlanta Magazine
http://whopayswriters.com/#/publication/atlantic-books-today,Atlantic Books Today
http://whopayswriters.com/#/publication/atlas-obscura,Atlas Obscura
http://whopayswriters.com/#/publication/audubon-magazine,Audubon Magazine
http://whopayswriters.com/#/publication/autostraddle,Autostraddle
http://whopayswriters.com/#/publication/avalon-magazine-canada,Avalon Magazine (canada)
http://whopayswriters.com/#/publication/avianca,Avianca
http://whopayswriters.com/#/publication/awp,Awp
http://whopayswriters.com/#/publication/babble,Babble
http://whopayswriters.com/#/publication/babe,Babe
http://whopayswriters.com/#/publication/backchannel,Backchannel
http://whopayswriters.com/#/publication/backpacker-magazine,Backpacker Magazine
http://whopayswriters.com/#/publication/backstage,Backstage
http://whopayswriters.com/#/publication/bali-bell,Bali Bell
http://whopayswriters.com/#/publication/baltimore-review,Baltimore Review
http://whopayswriters.com/#/publication/baltimores-child,Baltimore's Child
http://whopayswriters.com/#/publication/barista-magazine,Barista Magazine
http://whopayswriters.com/#/publication/bay-nature,Bay Nature
http://whopayswriters.com/#/publication/bay-street-bull,Bay Street Bull
http://whopayswriters.com/#/publication/bbc-capital,Bbc Capital
http://whopayswriters.com/#/publication/bbc-culture,Bbc Culture
http://whopayswriters.com/#/publication/bbc-future,Bbc Future
http://whopayswriters.com/#/publication/bbc-travel,Bbc Travel
http://whopayswriters.com/#/publication/bc-business,Bc Business
http://whopayswriters.com/#/publication/be-moxie,Be Moxie
http://whopayswriters.com/#/publication/bedford--bowery,Bedford + Bowery
http://whopayswriters.com/#/publication/bedsider,Bedsider
http://whopayswriters.com/#/publication/belt-magazine,Belt Magazine
http://whopayswriters.com/#/publication/best-womens-travel-writing,Best Women's Travel Writing
http://whopayswriters.com/#/publication/bevel-code,Bevel Code
http://whopayswriters.com/#/publication/beverage-industry,Beverage Industry
http://whopayswriters.com/#/publication/beyond,Beyond
http://whopayswriters.com/#/publication/beyond-myth-and-jargon,Beyond Myth And Jargon
http://whopayswriters.com/#/publication/billboard,Billboard
http://whopayswriters.com/#/publication/bioscience,Bioscience
http://whopayswriters.com/#/publication/biotechniques,Biotechniques
http://whopayswriters.com/#/publication/bitch,Bitch
http://whopayswriters.com/#/publication/black-women-to-support-at-sxsw,Black Women To Support At Sxsw
http://whopayswriters.com/#/publication/blackbook,Blackbook
http://whopayswriters.com/#/publication/blasting-news-us,Blasting News Us
http://whopayswriters.com/#/publication/blavity,Blavity
http://whopayswriters.com/#/publication/bloomberg-news,Bloomberg News
http://whopayswriters.com/#/publication/blue-ridge-country-magazine,Blue Ridge Country Magazine
http://whopayswriters.com/#/publication/boardwalk-savers,Boardwalk Savers
http://whopayswriters.com/#/publication/bodybuildingcom,Bodybuilding.com
http://whopayswriters.com/#/publication/boiler-room,Boiler Room
http://whopayswriters.com/#/publication/boing-boing,Boing Boing
http://whopayswriters.com/#/publication/bonappetitcom,Bonappetit.com
http://whopayswriters.com/#/publication/book-riot,Book Riot
http://whopayswriters.com/#/publication/bookforum,Bookforum
http://whopayswriters.com/#/publication/books--culture,Books & Culture
http://whopayswriters.com/#/publication/bookslut,Bookslut
http://whopayswriters.com/#/publication/boom-a-journal-of-california,Boom: A Journal Of California
http://whopayswriters.com/#/publication/boston-globe,Boston Globe
http://whopayswriters.com/#/publication/boston-globe-magazine,Boston Globe Magazine
http://whopayswriters.com/#/publication/boston-herald,Boston Herald
http://whopayswriters.com/#/publication/boston-magazine,Boston Magazine
http://whopayswriters.com/#/publication/boston-phoenix,Boston Phoenix
http://whopayswriters.com/#/publication/boston-review,Boston Review
http://whopayswriters.com/#/publication/boulder-weekly,Boulder Weekly
http://whopayswriters.com/#/publication/boys-life-magazine,Boys' Life Magazine
http://whopayswriters.com/#/publication/brain-world,Brain World
http://whopayswriters.com/#/publication/brand-quarterly,Brand Quarterly
http://whopayswriters.com/#/publication/brickunderground,Brickunderground
http://whopayswriters.com/#/publication/bright,Bright
http://whopayswriters.com/#/publication/bright-walldark-room,Bright Wall/dark Room
http://whopayswriters.com/#/publication/brit--co,Brit + Co
http://whopayswriters.com/#/publication/broadly,Broadly
http://whopayswriters.com/#/publication/broadly-vice,Broadly (vice)
http://whopayswriters.com/#/publication/brobible,Brobible
http://whopayswriters.com/#/publication/broken-pencil,Broken Pencil
http://whopayswriters.com/#/publication/brooklyn-exposed,Brooklyn Exposed
http://whopayswriters.com/#/publication/brooklyn-magazine,Brooklyn Magazine
http://whopayswriters.com/#/publication/brooklyn-rail,Brooklyn Rail
http://whopayswriters.com/#/publication/brown-alumni-magazine,Brown Alumni Magazine
http://whopayswriters.com/#/publication/bu-today,Bu Today
http://whopayswriters.com/#/publication/budget-travel-magazine,Budget Travel Magazine
http://whopayswriters.com/#/publication/bullett,Bullett
http://whopayswriters.com/#/publication/burnawayorg,Burnaway.org
http://whopayswriters.com/#/publication/businessweek,Businessweek
http://whopayswriters.com/#/publication/bust,Bust
http://whopayswriters.com/#/publication/bustle,Bustle
http://whopayswriters.com/#/publication/buzzfeed,Buzzfeed
http://whopayswriters.com/#/publication/buzzfeed-india,Buzzfeed India
http://whopayswriters.com/#/publication/byrdie,Byrdie
http://whopayswriters.com/#/publication/cville-weekly,C-ville Weekly
http://whopayswriters.com/#/publication/cafecom,Cafe.com
http://whopayswriters.com/#/publication/cafemom-the-stir,Cafemom The Stir
http://whopayswriters.com/#/publication/california-fly-fisher,California Fly Fisher
http://whopayswriters.com/#/publication/california-magazine,California Magazine
http://whopayswriters.com/#/publication/california-sunday-magazine,California Sunday Magazine
http://whopayswriters.com/#/publication/calvert-journal,Calvert Journal
http://whopayswriters.com/#/publication/canadaland,Canadaland
http://whopayswriters.com/#/publication/cancer-discovery,Cancer Discovery
http://whopayswriters.com/#/publication/capital-new-york,Capital New York
http://whopayswriters.com/#/publication/cappers,Capper's
http://whopayswriters.com/#/publication/caravanistan,Caravanistan
http://whopayswriters.com/#/publication/carolina-parent,Carolina Parent
http://whopayswriters.com/#/publication/casinopedia,Casinopedia
http://whopayswriters.com/#/publication/catapult,Catapult
http://whopayswriters.com/#/publication/catholic-review,Catholic Review
http://whopayswriters.com/#/publication/catster,Catster
http://whopayswriters.com/#/publication/ceilings-and-standards,Ceilings And Standards
http://whopayswriters.com/#/publication/celebrationscom,Celebrations.com
http://whopayswriters.com/#/publication/cengagegale,Cengage/gale
http://whopayswriters.com/#/publication/center-for-digital-ethics,Center For Digital Ethics
http://whopayswriters.com/#/publication/chamber-music-america,Chamber Music America
http://whopayswriters.com/#/publication/chap-magazine,Chap Magazine
http://whopayswriters.com/#/publication/charlottesville-family,Charlottesville Family
http://whopayswriters.com/#/publication/cheapismcom,Cheapism.com
http://whopayswriters.com/#/publication/cheese-connoisseur,Cheese Connoisseur
http://whopayswriters.com/#/publication/chefsfeed,Chefsfeed
http://whopayswriters.com/#/publication/chicago-magazine,Chicago Magazine
http://whopayswriters.com/#/publication/chicago-reader,Chicago Reader
http://whopayswriters.com/#/publication/chicago-tribune,Chicago Tribune
http://whopayswriters.com/#/publication/chicago-tribune-printers-row-literary-supplement,Chicago Tribune Printers Row Literary Supplement
http://whopayswriters.com/#/publication/chickpea-magazine,Chickpea Magazine
http://whopayswriters.com/#/publication/chowhound,Chowhound
http://whopayswriters.com/#/publication/christ-and-pop-culture-magazine,Christ And Pop Culture Magazine
http://whopayswriters.com/#/publication/christian-science-monitor,Christian Science Monitor
http://whopayswriters.com/#/publication/christianity-today,Christianity Today
http://whopayswriters.com/#/publication/chronicle-of-higher-education,Chronicle Of Higher Education
http://whopayswriters.com/#/publication/cicada-magazine,Cicada Magazine
http://whopayswriters.com/#/publication/cim-magazine,Cim Magazine
http://whopayswriters.com/#/publication/citiscope,Citiscope
http://whopayswriters.com/#/publication/city-limits,City Limits
http://whopayswriters.com/#/publication/city-of-hype,City Of Hype
http://whopayswriters.com/#/publication/city-pages,City Pages
http://whopayswriters.com/#/publication/citylab,Citylab
http://whopayswriters.com/#/publication/civil-eats,Civil Eats
http://whopayswriters.com/#/publication/classical-magazine,Classical Magazine
http://whopayswriters.com/#/publication/cleis-press,Cleis Press
http://whopayswriters.com/#/publication/cleveland-plain-dealer,Cleveland Plain Dealer
http://whopayswriters.com/#/publication/climbing,Climbing
http://whopayswriters.com/#/publication/climbing-business-journal,Climbing Business Journal
http://whopayswriters.com/#/publication/cloudtweakscom,Cloudtweaks.com
http://whopayswriters.com/#/publication/cluster-magazine,Cluster Magazine
http://whopayswriters.com/#/publication/cnbccom,Cnbc.com
http://whopayswriters.com/#/publication/cnn,Cnn
http://whopayswriters.com/#/publication/codesign,Co.design
http://whopayswriters.com/#/publication/colors-berlin,Colors Berlin
http://whopayswriters.com/#/publication/columbia-journalism-review,Columbia Journalism Review
http://whopayswriters.com/#/publication/columbia-magazine,Columbia Magazine
http://whopayswriters.com/#/publication/communication-world-magazine,Communication World Magazine
http://whopayswriters.com/#/publication/compass-cultura,Compass Cultura
http://whopayswriters.com/#/publication/complex,Complex
http://whopayswriters.com/#/publication/conde-nast-traveler,Conde Nast Traveler
http://whopayswriters.com/#/publication/connecticut-bride,Connecticut Bride
http://whopayswriters.com/#/publication/consequence-of-sound,Consequence Of Sound
http://whopayswriters.com/#/publication/constant-content,Constant Content
http://whopayswriters.com/#/publication/consumers-digest,Consumers Digest
http://whopayswriters.com/#/publication/consumersearchcom,Consumersearch.com
http://whopayswriters.com/#/publication/contently--trulia,Contently / Trulia
http://whopayswriters.com/#/publication/conversation,Conversation
http://whopayswriters.com/#/publication/convivium,Convivium
http://whopayswriters.com/#/publication/coolhunting,Coolhunting
http://whopayswriters.com/#/publication/corporatestays,Corporatestays
http://whopayswriters.com/#/publication/cosmopolitan,Cosmopolitan
http://whopayswriters.com/#/publication/cosmopolitan-uk,Cosmopolitan Uk
http://whopayswriters.com/#/publication/cosmos-magazine,Cosmos Magazine
http://whopayswriters.com/#/publication/cowboys--indians,Cowboys & Indians
http://whopayswriters.com/#/publication/cracked,Cracked
http://whopayswriters.com/#/publication/craft-beer-magazine,Craft Beer Magazine
http://whopayswriters.com/#/publication/craft-industry-alliance,Craft Industry Alliance
http://whopayswriters.com/#/publication/crains-chicago-business,Crain's Chicago Business
http://whopayswriters.com/#/publication/crains-cleveland-business,Crain's Cleveland Business
http://whopayswriters.com/#/publication/crains-new-york,Crain's New York
http://whopayswriters.com/#/publication/creative-loafing-atlanta,Creative Loafing Atlanta
http://whopayswriters.com/#/publication/creative-screenwriting,Creative Screenwriting
http://whopayswriters.com/#/publication/creators-news,Creators News
http://whopayswriters.com/#/publication/crixeo,Crixeo
http://whopayswriters.com/#/publication/crosscut,Crosscut
http://whopayswriters.com/#/publication/crossed-genres,Crossed Genres
http://whopayswriters.com/#/publication/csm-modern-parenting,Csm Modern Parenting
http://whopayswriters.com/#/publication/cuepoint,Cuepoint
http://whopayswriters.com/#/publication/culture-trip,Culture Trip
http://whopayswriters.com/#/publication/culturess,Culturess
http://whopayswriters.com/#/publication/curbed,Curbed
http://whopayswriters.com/#/publication/curiosity,Curiosity
http://whopayswriters.com/#/publication/current-affairs,Current Affairs
http://whopayswriters.com/#/publication/curve-magazine,Curve Magazine
http://whopayswriters.com/#/publication/cutcom,Cut.com
http://whopayswriters.com/#/publication/cutcom,Cut.com
http://whopayswriters.com/#/publication/d-magazine,D Magazine
http://whopayswriters.com/#/publication/daily-detroit,Daily Detroit
http://whopayswriters.com/#/publication/daily-mail,Daily Mail
http://whopayswriters.com/#/publication/daily-serving,Daily Serving
http://whopayswriters.com/#/publication/daily-telegraph,Daily Telegraph
http://whopayswriters.com/#/publication/daily-xtra,Daily Xtra
http://whopayswriters.com/#/publication/daily-yonder,Daily Yonder
http://whopayswriters.com/#/publication/dallas-voice,Dallas Voice
http://whopayswriters.com/#/publication/dame-magazine,Dame Magazine
http://whopayswriters.com/#/publication/dance-international,Dance International
http://whopayswriters.com/#/publication/dance-retailer-news,Dance Retailer News
http://whopayswriters.com/#/publication/darling-magazine,Darling Magazine
http://whopayswriters.com/#/publication/dazed,Dazed
http://whopayswriters.com/#/publication/dc-inno,Dc Inno
http://whopayswriters.com/#/publication/de-magazine-or-design-exchange-magazine,De Magazine (or Design Exchange Magazine)
http://whopayswriters.com/#/publication/deadspin,Deadspin
http://whopayswriters.com/#/publication/debtcom,Debt.com
http://whopayswriters.com/#/publication/deep-south-magazine,Deep South Magazine
http://whopayswriters.com/#/publication/departures,Departures
http://whopayswriters.com/#/publication/desert-companion,Desert Companion
http://whopayswriters.com/#/publication/differencebetweennet,Differencebetween.net
http://whopayswriters.com/#/publication/diffords-guide,Difford's Guide
http://whopayswriters.com/#/publication/dig-boston,Dig Boston
http://whopayswriters.com/#/publication/dirt-rag-magazine,Dirt Rag Magazine
http://whopayswriters.com/#/publication/dirt-rag-magazine,Dirt Rag Magazine
http://whopayswriters.com/#/publication/discover,Discover
http://whopayswriters.com/#/publication/disfunkshion-magazine,Disfunkshion Magazine
http://whopayswriters.com/#/publication/distinctly-montana,Distinctly Montana
http://whopayswriters.com/#/publication/diva,Diva
http://whopayswriters.com/#/publication/diy-magazine,Diy Magazine
http://whopayswriters.com/#/publication/dj-tech-tools,Dj Tech Tools
http://whopayswriters.com/#/publication/dnainfocom,Dnainfo.com
http://whopayswriters.com/#/publication/documented,Documented
http://whopayswriters.com/#/publication/dogstercom,Dogster.com
http://whopayswriters.com/#/publication/domino,Domino
http://whopayswriters.com/#/publication/domus-europe,Domus (europe)
http://whopayswriters.com/#/publication/dorado,Dorado
http://whopayswriters.com/#/publication/downtown-neighbors,Downtown Neighbors
http://whopayswriters.com/#/publication/draft-magazine,Draft Magazine
http://whopayswriters.com/#/publication/dreamchrono,Dreamchrono
http://whopayswriters.com/#/publication/dujour,Dujour
http://whopayswriters.com/#/publication/dumpling-magazine,Dumpling Magazine
http://whopayswriters.com/#/publication/dungeon--dragons-magazine-wizards-of-the-coast,"Dungeon & Dragons Magazine (""wizards Of The Coast"")"
http://whopayswriters.com/#/publication/dwell,Dwell
http://whopayswriters.com/#/publication/earth-island-journal,Earth Island Journal
http://whopayswriters.com/#/publication/east-bay-express,East Bay Express
http://whopayswriters.com/#/publication/eater,Eater
http://whopayswriters.com/#/publication/eater-atlanta,Eater Atlanta
http://whopayswriters.com/#/publication/eating-well,Eating Well
http://whopayswriters.com/#/publication/ebony,Ebony
http://whopayswriters.com/#/publication/ecowatch,Ecowatch
http://whopayswriters.com/#/publication/edible-dc,Edible D.c.
http://whopayswriters.com/#/publication/efniks,Efniks
http://whopayswriters.com/#/publication/el-espaol,El Español
http://whopayswriters.com/#/publication/el-pais,El Pais
http://whopayswriters.com/#/publication/el-universo,El Universo
http://whopayswriters.com/#/publication/electric-literature,Electric Literature
http://whopayswriters.com/#/publication/electronic-sound,Electronic Sound
http://whopayswriters.com/#/publication/elephant,Elephant
http://whopayswriters.com/#/publication/elle,Elle
http://whopayswriters.com/#/publication/emusic,Emusic
http://whopayswriters.com/#/publication/endless-vacation,Endless Vacation
http://whopayswriters.com/#/publication/engadget,Engadget
http://whopayswriters.com/#/publication/entrepreneur-magazine,Entrepreneur Magazine
http://whopayswriters.com/#/publication/equality-for-her,Equality For Her
http://whopayswriters.com/#/publication/erosion-control-magazine,Erosion Control Magazine
http://whopayswriters.com/#/publication/esglobal,Esglobal
